fonte,cidade,latitude,longitude,periodo_atual,data_meio,modis_data,modis_dt_dias,ndvi_atual_aa,ndvi_atual_modis,diff_ndvi_aa_minus_modis,ndvi_delta_aa,queda_aa,nivel_aa
ndvi_historico,Salvador,-12.971,-38.511,27/09/2025 – 27/10/2025,2025-10-12,2025-10-16,4,0.15,0.265,-0.115,0.0,0,normal
ndvi_historico,Salvador,-12.971,-38.511,26/12/2025 – 25/01/2026,2026-01-10,2025-12-19,-22,0.033,0.2578,-0.2248,0.0,0,normal
ndvi_historico,Salvador,-12.971,-38.511,26/03/2026 – 25/04/2026,2026-04-10,2026-04-07,-3,0.103,0.2246,-0.1216,0.0,0,normal
ndvi_historico,Brasília,-15.779,-47.929,04/07/2024 – 03/08/2024,2024-07-19,2024-07-11,-8,0.184,0.4244,-0.2404,0.004,0,normal
ndvi_historico,Brasília,-15.779,-47.929,02/10/2024 – 01/11/2024,2024-10-17,2024-10-15,-2,0.146,0.4437,-0.2977,0.086,0,normal
ndvi_historico,Brasília,-15.779,-47.929,31/12/2024 – 30/01/2025,2025-01-15,2025-01-17,2,0.337,0.5833,-0.2463,0.0,0,normal
ndvi_historico,Brasília,-15.779,-47.929,31/03/2025 – 30/04/2025,2025-04-15,2025-04-07,-8,0.366,0.6353,-0.2693,0.015,0,normal
ndvi_historico,Brasília,-15.779,-47.929,29/06/2025 – 29/07/2025,2025-07-14,2025-07-12,-2,0.227,0.4293,-0.2023,0.0,0,normal
ndvi_historico,Brasília,-15.779,-47.929,27/09/2025 – 27/10/2025,2025-10-12,2025-10-16,4,0.223,0.5899,-0.3669,0.0,0,normal
ndvi_historico,Brasília,-15.779,-47.929,26/12/2025 – 25/01/2026,2026-01-10,2026-01-17,7,0.323,0.6259,-0.3029,0.014,0,normal
ndvi_historico,Brasília,-15.779,-47.929,26/03/2026 – 25/04/2026,2026-04-10,2026-04-07,-3,0.368,0.6469,-0.2789,0.0,0,normal
ndvi_historico,Belo Horizonte,-19.917,-43.934,04/07/2024 – 03/08/2024,2024-07-19,2024-07-11,-8,0.026,0.1664,-0.1404,0.039,0,normal
